Location,Xylem Type,Species name,Sample number,Sample length,wood density,SW/DW,SWC,Ks,Mean-Ks,max-Ks ,Dv,Dh,VAF,VF,P,P_g, K,Fd,Removed K,removed Fd
T,DP,Hevea brasiliensis ,6,173.9,0.49,2.19,1.19,8.09,7.67,8.31,169.56,200.25,4.78,1.99,0.05,0.0288,0.96,232.57,,
T,DP,Hevea brasiliensis ,6,173.9,0.49,2.19,1.19,7.28,7.67,8.31,169.56,200.25,4.78,1.99,0.06,0.0345,1.02,251.01,,
T,DP,Hevea brasiliensis ,6,173.9,0.49,2.19,1.19,6.86,7.67,8.31,169.56,200.25,4.78,1.99,0.07,0.0403,1.03,276.28,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,6.38,9.82,11.56,NA,NA,NA,NA,0.02,0.0114,0.45,72.62,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,8.95,9.82,11.56,NA,NA,NA,NA,0.03,0.0171,0.65,152.76,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,11.25,9.82,11.56,NA,NA,NA,NA,0.04,0.0228,0.77,256.23,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,9.93,9.82,11.56,NA,NA,NA,NA,0.05,0.0285,0.92,282.62,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,10.85,9.82,11.56,NA,NA,NA,NA,0.06,0.0341,1,370.4,,
T,DP,Hevea brasiliensis ,7,175.7,0.43,2.36,1.36,11.56,9.82,11.56,NA,NA,NA,NA,0.07,0.0398,1.08,460.68,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,5.9,5.79,6.38,NA,NA,NA,NA,0.02,0.0119,0.25,70.39,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,6.38,5.79,6.38,NA,NA,NA,NA,0.03,0.0179,0.55,114.22,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,5.96,5.79,6.38,NA,NA,NA,NA,0.04,0.0239,0.56,142.43,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,5.59,5.79,6.38,NA,NA,NA,NA,0.05,0.0299,0.61,166.79,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,5.51,5.79,6.38,NA,NA,NA,NA,0.06,0.0358,0.68,197.48,,
T,DP,Hevea brasiliensis ,8,167.5,0.46,2.25,1.25,5.38,5.79,6.38,NA,NA,NA,NA,0.07,0.0418,0.7,224.7,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,9.97,13,14.57,NA,NA,NA,NA,0.02,0.0118,0.48,118.05,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,12.96,13,14.57,NA,NA,NA,NA,0.03,0.0178,0.64,230.06,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,14.57,13,14.57,NA,NA,NA,NA,0.04,0.0237,0.8,344.75,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,14.19,13,14.57,NA,NA,NA,NA,0.05,0.0296,0.93,419.85,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,12.55,13,14.57,NA,NA,NA,NA,0.06,0.0355,0.82,445.72,,
T,DP,Hevea brasiliensis ,9,169,0.48,2.23,1.23,13.77,13,14.57,NA,NA,NA,NA,0.07,0.0414,1.1,570.35,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,4.5,5.23,6.86,57.34,64.64,21.84,95.24,0.02,0.0093,0.09,41.67,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,3.96,5.23,6.86,57.34,64.64,21.84,95.24,0.03,0.0139,0.16,55.03,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,4.5,5.23,6.86,57.34,64.64,21.84,95.24,0.04,0.0185,0.29,83.37,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,5.52,5.23,6.86,57.34,64.64,21.84,95.24,0.05,0.0231,0.37,127.67,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,6.02,5.23,6.86,57.34,64.64,21.84,95.24,0.06,0.0278,0.55,167.23,,
S,DP,Haldina cordifolia,1,216,0.59,1.91,0.91,6.86,5.23,6.86,57.34,64.64,21.84,95.24,0.07,0.0324,0.71,222.22,,
S,DP,Haldina cordifolia,2,211,0.59,1.89,0.89,8.25,7.53,8.25,47.98,56.11,21.02,110.82,0.02,0.0095,0.26,78.24,,
S,DP,Haldina cordifolia,2,211,0.59,1.89,0.89,6.82,7.53,8.25,47.98,56.11,21.02,110.82,0.03,0.0142,0.37,96.94,,
S,DP,Haldina cordifolia,2,211,0.59,1.89,0.89,7.2,7.53,8.25,47.98,56.11,21.02,110.82,0.04,0.019,0.62,136.55,,
S,DP,Haldina cordifolia,2,211,0.59,1.89,0.89,7.59,7.53,8.25,47.98,56.11,21.02,110.82,0.05,0.0237,0.67,179.79,,
S,DP,Haldina cordifolia,2,211,0.59,1.89,0.89,7.68,7.53,8.25,47.98,56.11,21.02,110.82,0.06,0.0284,0.74,218.45,,
S,DP,Haldina cordifolia,2,211,0.59,1.89,0.89,7.61,7.53,8.25,47.98,56.11,21.02,110.82,0.07,0.0332,0.75,252.59,,
S,DP,Haldina cordifolia,3,217,0.6,1.87,0.87,6.8,6.52,7.39,53.55,61.53,21.56,91.68,0.02,0.0092,0.17,62.69,,
S,DP,Haldina cordifolia,3,217,0.6,1.87,0.87,5.77,6.52,7.39,53.55,61.53,21.56,91.68,0.03,0.0138,0.22,79.73,,
S,DP,Haldina cordifolia,3,217,0.6,1.87,0.87,6.32,6.52,7.39,53.55,61.53,21.56,91.68,0.04,0.0184,0.35,116.53,,
S,DP,Haldina cordifolia,3,217,0.6,1.87,0.87,7.13,6.52,7.39,53.55,61.53,21.56,91.68,0.05,0.023,0.61,164.22,,
S,DP,Haldina cordifolia,3,217,0.6,1.87,0.87,7.39,6.52,7.39,53.55,61.53,21.56,91.68,0.06,0.0276,0.74,204.27,,
S,DP,Haldina cordifolia,3,217,0.6,1.87,0.87,5.71,6.52,7.39,53.55,61.53,21.56,91.68,0.07,0.0323,NA,NA,0,0
S,DP,Haldina cordifolia,4,196,0.59,1.96,0.96,3.01,4.62,6.5,NA,NA,NA,NA,0.02,0.0102,0.06,30.67,,
S,DP,Haldina cordifolia,4,196,0.59,1.96,0.96,3.54,4.62,6.5,NA,NA,NA,NA,0.03,0.0153,0.11,54.25,,
S,DP,Haldina cordifolia,4,196,0.59,1.96,0.96,4.22,4.62,6.5,NA,NA,NA,NA,0.04,0.0204,0.22,86.19,,
S,DP,Haldina cordifolia,4,196,0.59,1.96,0.96,4.95,4.62,6.5,NA,NA,NA,NA,0.05,0.0255,0.35,126.26,,
S,DP,Haldina cordifolia,4,196,0.59,1.96,0.96,5.51,4.62,6.5,NA,NA,NA,NA,0.06,0.0306,0.32,168.53,,
S,DP,Haldina cordifolia,4,196,0.59,1.96,0.96,6.5,4.62,6.5,NA,NA,NA,NA,0.07,0.0357,0.55,232.11,,
S,DP,Haldina cordifolia,5,220.5,0.58,1.88,0.88,1.13,2.63,4.94,NA,NA,NA,NA,0.02,0.0091,NA,NA,,
S,DP,Haldina cordifolia,5,220.5,0.58,1.88,0.88,1.49,2.63,4.94,NA,NA,NA,NA,0.03,0.0136,NA,NA,,
S,DP,Haldina cordifolia,5,220.5,0.58,1.88,0.88,2.06,2.63,4.94,NA,NA,NA,NA,0.04,0.0181,0.03,37.31,,
S,DP,Haldina cordifolia,5,220.5,0.58,1.88,0.88,2.7,2.63,4.94,NA,NA,NA,NA,0.05,0.0227,0.2,61.19,,
S,DP,Haldina cordifolia,5,220.5,0.58,1.88,0.88,3.48,2.63,4.94,NA,NA,NA,NA,0.06,0.0272,0.48,94.6,,
S,DP,Haldina cordifolia,5,220.5,0.58,1.88,0.88,4.94,2.63,4.94,NA,NA,NA,NA,0.07,0.0317,0.94,156.7,,
S,DP,Haldina cordifolia,6,214,0.57,1.82,0.82,1.74,3.13,4.91,NA,NA,NA,NA,0.02,0.0093,NA,NA,,
S,DP,Haldina cordifolia,6,214,0.57,1.82,0.82,2.06,3.13,4.91,NA,NA,NA,NA,0.03,0.014,NA,NA,,
S,DP,Haldina cordifolia,6,214,0.57,1.82,0.82,2.63,3.13,4.91,NA,NA,NA,NA,0.04,0.0187,0.06,49.22,,
S,DP,Haldina cordifolia,6,214,0.57,1.82,0.82,3.42,3.13,4.91,NA,NA,NA,NA,0.05,0.0234,0.24,79.96,,
S,DP,Haldina cordifolia,6,214,0.57,1.82,0.82,4.01,3.13,4.91,NA,NA,NA,NA,0.06,0.028,0.45,112.35,,
S,DP,Haldina cordifolia,6,214,0.57,1.82,0.82,4.91,3.13,4.91,NA,NA,NA,NA,0.07,0.0327,0.62,160.51,,
T,DP,Dipterocarpus alatus ,1,133,0.55,1.91,0.91,1.06,1.4,1.95,144.13,184.35,15.79,8.87,0.02,0.015,0.03,16.01,,
T,DP,Dipterocarpus alatus ,1,133,0.55,1.91,0.91,1.11,1.4,1.95,144.13,184.35,15.79,8.87,0.03,0.0226,0.11,24.93,,
T,DP,Dipterocarpus alatus ,1,133,0.55,1.91,0.91,1.3,1.4,1.95,144.13,184.35,15.79,8.87,0.04,0.0301,0.12,39.06,,
T,DP,Dipterocarpus alatus ,1,133,0.55,1.91,0.91,1.34,1.4,1.95,144.13,184.35,15.79,8.87,0.05,0.0376,0.17,50.53,,
T,DP,Dipterocarpus alatus ,1,133,0.55,1.91,0.91,1.65,1.4,1.95,144.13,184.35,15.79,8.87,0.06,0.0451,0.23,74.45,,
T,DP,Dipterocarpus alatus ,1,133,0.55,1.91,0.91,1.95,1.4,1.95,144.13,184.35,15.79,8.87,0.07,0.0526,0.3,102.75,,
T,DP,Dipterocarpus alatus ,2,145,0.59,2.06,1.06,1.19,1.85,2.42,92.18,111.97,13.94,19.63,0.02,0.0138,NA,NA,,
T,DP,Dipterocarpus alatus ,2,145,0.59,2.06,1.06,1.55,1.85,2.42,92.18,111.97,13.94,19.63,0.03,0.0207,0.09,32.03,,
T,DP,Dipterocarpus alatus ,2,145,0.59,2.06,1.06,1.92,1.85,2.42,92.18,111.97,13.94,19.63,0.04,0.0276,0.1,52.96,,
T,DP,Dipterocarpus alatus ,2,145,0.59,2.06,1.06,1.81,1.85,2.42,92.18,111.97,13.94,19.63,0.05,0.0345,0.13,62.36,,
T,DP,Dipterocarpus alatus ,2,145,0.59,2.06,1.06,2.23,1.85,2.42,92.18,111.97,13.94,19.63,0.06,0.0414,0.18,92.42,,
T,DP,Dipterocarpus alatus ,2,145,0.59,2.06,1.06,2.42,1.85,2.42,92.18,111.97,13.94,19.63,0.07,0.0483,0.27,117.02,,
T,DP,Dipterocarpus alatus ,3,151.5,0.55,2.16,1.16,1.79,2.44,3.26,94.14,114.56,14.39,19.13,0.02,0.0132,0.01,23.57,,
T,DP,Dipterocarpus alatus ,3,151.5,0.55,2.16,1.16,2.11,2.44,3.26,94.14,114.56,14.39,19.13,0.03,0.0198,0.05,41.86,,
T,DP,Dipterocarpus alatus ,3,151.5,0.55,2.16,1.16,2.18,2.44,3.26,94.14,114.56,14.39,19.13,0.04,0.0264,0.08,57.43,,
T,DP,Dipterocarpus alatus ,3,151.5,0.55,2.16,1.16,2.52,2.44,3.26,94.14,114.56,14.39,19.13,0.05,0.033,0.18,83.23,,
T,DP,Dipterocarpus alatus ,3,151.5,0.55,2.16,1.16,2.78,2.44,3.26,94.14,114.56,14.39,19.13,0.06,0.0396,0.23,109.98,,
T,DP,Dipterocarpus alatus ,3,151.5,0.55,2.16,1.16,3.26,2.44,3.26,94.14,114.56,14.39,19.13,0.07,0.0462,0.35,150.65,,
T,DP,Dipterocarpus alatus ,4,155,0.63,1.91,0.91,5.74,7.37,9.73,167.18,194.05,16.04,7.1,0.02,0.0129,0.15,74.12,,
T,DP,Dipterocarpus alatus ,4,155,0.63,1.91,0.91,6.65,7.37,9.73,167.18,194.05,16.04,7.1,0.03,0.0194,0.21,128.72,,
T,DP,Dipterocarpus alatus ,4,155,0.63,1.91,0.91,6.36,7.37,9.73,167.18,194.05,16.04,7.1,0.04,0.0258,0.23,164.2,,
T,DP,Dipterocarpus alatus ,4,155,0.63,1.91,0.91,7.82,7.37,9.73,167.18,194.05,16.04,7.1,0.05,0.0323,0.38,252.14,,
T,DP,Dipterocarpus alatus ,4,155,0.63,1.91,0.91,7.94,7.37,9.73,167.18,194.05,16.04,7.1,0.06,0.0387,0.44,307.29,,
T,DP,Dipterocarpus alatus ,4,155,0.63,1.91,0.91,9.73,7.37,9.73,167.18,194.05,16.04,7.1,0.07,0.0452,0.48,439.43,,
T,DP,Dipterocarpus alatus ,5,145,0.59,1.96,0.96,0.94,1.78,2.39,137.1,175.27,12.36,7.55,0.02,0.0138,NA,NA,,
T,DP,Dipterocarpus alatus ,5,145,0.59,1.96,0.96,1.18,1.78,2.39,137.1,175.27,12.36,7.55,0.03,0.0207,0.08,24.37,,
T,DP,Dipterocarpus alatus ,5,145,0.59,1.96,0.96,1.59,1.78,2.39,137.1,175.27,12.36,7.55,0.04,0.0276,0.15,43.95,,
T,DP,Dipterocarpus alatus ,5,145,0.59,1.96,0.96,2.19,1.78,2.39,137.1,175.27,12.36,7.55,0.05,0.0345,0.22,75.38,,
