Location,Xylem Type,Species name,Sample number,Sample length,wood density,SW/DW,SWC,Ks,Mean-Ks,max-Ks ,Dv,Dh,VAF,VF,P,P_g, K,Fd,Removed K,removed Fd
T,DP,Hopea hongaychsis,1,130,NA,NA,NA,2.86,3.95,4.54,NA,NA,NA,NA,0.04,0.0308,0.21,69.81,,
T,DP,Hopea hongaychsis,1,130,NA,NA,NA,4.48,3.95,4.54,NA,NA,NA,NA,0.05,0.0385,0.35,136.69,,
T,DP,Hopea hongaychsis,1,130,NA,NA,NA,4.54,3.95,4.54,NA,NA,NA,NA,0.06,0.0462,0.51,166.48,,
T,DP,Hopea hongaychsis,2,137,NA,NA,NA,7.28,5.77,7.28,NA,NA,NA,NA,0.02,0.0146,0.26,88.94,,
T,DP,Hopea hongaychsis,2,137,NA,NA,NA,5.5,5.77,7.28,NA,NA,NA,NA,0.03,0.0219,0.41,100.76,,
T,DP,Hopea hongaychsis,2,137,NA,NA,NA,4.93,5.77,7.28,NA,NA,NA,NA,0.04,0.0292,0.5,120.5,,
T,DP,Hopea hongaychsis,2,137,NA,NA,NA,5.47,5.77,7.28,NA,NA,NA,NA,0.05,0.0365,NA,NA,0,0
T,DP,Hopea hongaychsis,2,137,NA,NA,NA,5.65,5.77,7.28,NA,NA,NA,NA,0.06,0.0438,0.65,206.93,,
T,DP,Hopea hongaychsis,3,135,NA,NA,NA,3.61,2.9,3.61,NA,NA,NA,NA,0.02,0.0148,0.31,44.08,,
T,DP,Hopea hongaychsis,3,135,NA,NA,NA,2.99,2.9,3.61,NA,NA,NA,NA,0.03,0.0222,0.37,54.69,,
T,DP,Hopea hongaychsis,3,135,NA,NA,NA,2.44,2.9,3.61,NA,NA,NA,NA,0.04,0.0296,0.38,59.6,,
T,DP,Hopea hongaychsis,3,135,NA,NA,NA,2.64,2.9,3.61,NA,NA,NA,NA,0.05,0.037,0.42,80.57,,
T,DP,Hopea hongaychsis,3,135,NA,NA,NA,2.83,2.9,3.61,NA,NA,NA,NA,0.06,0.0444,0.48,103.71,,
T,DP,Hopea hongaychsis,4,143,NA,NA,NA,5.38,4.09,5.38,NA,NA,NA,NA,0.02,0.014,0.53,65.72,,
T,DP,Hopea hongaychsis,4,143,NA,NA,NA,4.16,4.09,5.38,NA,NA,NA,NA,0.03,0.021,0.67,76.26,,
T,DP,Hopea hongaychsis,4,143,NA,NA,NA,3.72,4.09,5.38,NA,NA,NA,NA,0.04,0.028,0.74,90.73,,
T,DP,Hopea hongaychsis,4,143,NA,NA,NA,3.34,4.09,5.38,NA,NA,NA,NA,0.05,0.035,NA,NA,0,0
T,DP,Hopea hongaychsis,4,143,NA,NA,NA,3.84,4.09,5.38,NA,NA,NA,NA,0.06,0.042,0.9,140.84,,
T,DP,Hopea hongaychsis,5,129,NA,NA,NA,9.27,7.09,9.27,NA,NA,NA,NA,0.02,0.0155,0.33,113.15,,
T,DP,Hopea hongaychsis,5,129,NA,NA,NA,7.55,7.09,9.27,NA,NA,NA,NA,0.03,0.0233,0.41,138.26,,
T,DP,Hopea hongaychsis,5,129,NA,NA,NA,5.67,7.09,9.27,NA,NA,NA,NA,0.04,0.031,0.47,138.37,,
T,DP,Hopea hongaychsis,5,129,NA,NA,NA,5.91,7.09,9.27,NA,NA,NA,NA,0.05,0.0388,NA,NA,0,0
T,DP,Hopea hongaychsis,5,129,NA,NA,NA,7.07,7.09,9.27,NA,NA,NA,NA,0.06,0.0465,0.61,258.8,,
T,DP,Hopea hongaychsis,6,140,NA,NA,NA,7.43,7.73,9.03,NA,NA,NA,NA,0.02,0.0143,0.49,90.67,,
T,DP,Hopea hongaychsis,6,140,NA,NA,NA,9.03,7.73,9.03,NA,NA,NA,NA,0.03,0.0214,0.55,165.42,,
T,DP,Hopea hongaychsis,6,140,NA,NA,NA,7.79,7.73,9.03,NA,NA,NA,NA,0.04,0.0286,0.64,190.25,,
T,DP,Hopea hongaychsis,6,140,NA,NA,NA,6.53,7.73,9.03,NA,NA,NA,NA,0.05,0.0357,NA,NA,0,0
T,DP,Hopea hongaychsis,6,140,NA,NA,NA,7.87,7.73,9.03,NA,NA,NA,NA,0.06,0.0429,0.72,288.35,,
T,DP,Vatica mangachapoi,1,134,NA,NA,NA,4.15,6.2,8.57,NA,NA,NA,NA,0.02,0.0149,NA,NA,0,0
T,DP,Vatica mangachapoi,1,134,NA,NA,NA,3.14,6.2,8.57,NA,NA,NA,NA,0.03,0.0224,0.12,84.54,,
T,DP,Vatica mangachapoi,1,134,NA,NA,NA,3.35,6.2,8.57,NA,NA,NA,NA,0.04,0.0299,0.2,179.74,,
T,DP,Vatica mangachapoi,1,134,NA,NA,NA,4.21,6.2,8.57,NA,NA,NA,NA,0.05,0.0373,0.25,195.73,,
T,DP,Vatica mangachapoi,1,134,NA,NA,NA,3.9,6.2,8.57,NA,NA,NA,NA,0.06,0.0448,0.44,267.92,,
T,DP,Vatica mangachapoi,1,134,NA,NA,NA,4.41,6.2,8.57,NA,NA,NA,NA,0.07,0.0522,0.52,366.08,,
T,DP,Vatica mangachapoi,2,145,NA,NA,NA,8.42,1.47,2.05,NA,NA,NA,NA,0.02,0.0138,NA,NA,0,0
T,DP,Vatica mangachapoi,2,145,NA,NA,NA,5.9,1.47,2.05,NA,NA,NA,NA,0.03,0.0207,NA,NA,0,0
T,DP,Vatica mangachapoi,2,145,NA,NA,NA,5.93,1.47,2.05,NA,NA,NA,NA,0.04,0.0276,0.05,38.9,,
T,DP,Vatica mangachapoi,2,145,NA,NA,NA,6.64,1.47,2.05,NA,NA,NA,NA,0.05,0.0345,0.11,42.99,,
T,DP,Vatica mangachapoi,2,145,NA,NA,NA,5.8,1.47,2.05,NA,NA,NA,NA,0.06,0.0414,0.33,63.41,,
T,DP,Vatica mangachapoi,2,145,NA,NA,NA,5.76,1.47,2.05,NA,NA,NA,NA,0.07,0.0483,0.4,87.46,,
T,DP,Vatica mangachapoi,3,127,NA,NA,NA,5.36,7.24,9.66,NA,NA,NA,NA,0.02,0.0157,NA,NA,0,0
T,DP,Vatica mangachapoi,3,127,NA,NA,NA,3.91,7.24,9.66,NA,NA,NA,NA,0.03,0.0236,0.15,121.24,,
T,DP,Vatica mangachapoi,3,127,NA,NA,NA,3.92,7.24,9.66,NA,NA,NA,NA,0.04,0.0315,0.24,209.61,,
T,DP,Vatica mangachapoi,3,127,NA,NA,NA,5.12,7.24,9.66,NA,NA,NA,NA,0.05,0.0394,0.3,222.69,,
T,DP,Vatica mangachapoi,3,127,NA,NA,NA,4.72,7.24,9.66,NA,NA,NA,NA,0.06,0.0472,0.5,307,,
T,DP,Vatica mangachapoi,3,127,NA,NA,NA,5.32,7.24,9.66,NA,NA,NA,NA,0.07,0.0551,0.56,412.93,,
T,DP,Vatica mangachapoi,4,146,NA,NA,NA,0.92,1.67,2.08,NA,NA,NA,NA,0.02,0.0137,NA,NA,0,0
T,DP,Vatica mangachapoi,4,146,NA,NA,NA,1.43,1.67,2.08,NA,NA,NA,NA,0.03,0.0205,NA,NA,0,0
T,DP,Vatica mangachapoi,4,146,NA,NA,NA,1.49,1.67,2.08,NA,NA,NA,NA,0.04,0.0274,0.04,42.42,,
T,DP,Vatica mangachapoi,4,146,NA,NA,NA,1.66,1.67,2.08,NA,NA,NA,NA,0.05,0.0342,0.08,57.64,,
T,DP,Vatica mangachapoi,4,146,NA,NA,NA,2.01,1.67,2.08,NA,NA,NA,NA,0.06,0.0411,0.29,64.95,,
T,DP,Vatica mangachapoi,4,146,NA,NA,NA,2.33,1.67,2.08,NA,NA,NA,NA,0.07,0.0479,0.36,88.95,,
T,DP,Vatica mangachapoi,5,139,NA,NA,NA,2.04,6.39,9.16,NA,NA,NA,NA,0.02,0.0144,0.01,40.62,,
T,DP,Vatica mangachapoi,5,139,NA,NA,NA,3.44,6.39,9.16,NA,NA,NA,NA,0.03,0.0216,0.09,91.58,,
T,DP,Vatica mangachapoi,5,139,NA,NA,NA,3.53,6.39,9.16,NA,NA,NA,NA,0.04,0.0288,0.16,164.1,,
T,DP,Vatica mangachapoi,5,139,NA,NA,NA,3.74,6.39,9.16,NA,NA,NA,NA,0.05,0.036,0.2,196.89,,
T,DP,Vatica mangachapoi,5,139,NA,NA,NA,4.03,6.39,9.16,NA,NA,NA,NA,0.06,0.0432,0.4,280.81,,
T,DP,Vatica mangachapoi,5,139,NA,NA,NA,4.25,6.39,9.16,NA,NA,NA,NA,0.07,0.0504,0.43,391.63,,
T,DP,Vatica mangachapoi,6,140,NA,NA,NA,0.92,4.02,5.07,NA,NA,NA,NA,0.02,0.0143,0.01,40.7,,
T,DP,Vatica mangachapoi,6,140,NA,NA,NA,1.26,4.02,5.07,NA,NA,NA,NA,0.03,0.0214,0.1,52.89,,
T,DP,Vatica mangachapoi,6,140,NA,NA,NA,1.75,4.02,5.07,NA,NA,NA,NA,0.04,0.0286,0.18,113.92,,
T,DP,Vatica mangachapoi,6,140,NA,NA,NA,2.22,4.02,5.07,NA,NA,NA,NA,0.05,0.0357,0.24,113.92,,
T,DP,Vatica mangachapoi,6,140,NA,NA,NA,3.08,4.02,5.07,NA,NA,NA,NA,0.06,0.0429,0.43,163.38,,
T,DP,Vatica mangachapoi,6,140,NA,NA,NA,3.5,4.02,5.07,NA,NA,NA,NA,0.07,0.05,0.47,216.71,,
T,DP,Shorea assamica,1,127.5,NA,NA,NA,4.95,13.05,19.8,NA,NA,NA,NA,0.005,0.0039,NA,NA,0,0
T,DP,Shorea assamica,1,127.5,NA,NA,NA,19.8,13.05,19.8,NA,NA,NA,NA,0.01,0.0078,0.4,120.88,,
T,DP,Shorea assamica,1,127.5,NA,NA,NA,15.1,13.05,19.8,NA,NA,NA,NA,0.015,0.0118,NA,NA,0,0
T,DP,Shorea assamica,1,127.5,NA,NA,NA,13.45,13.05,19.8,NA,NA,NA,NA,0.02,0.0157,0.53,164.18,,
T,DP,Shorea assamica,1,127.5,NA,NA,NA,12.69,13.05,19.8,NA,NA,NA,NA,0.025,0.0196,0.64,193.64,,
T,DP,Shorea assamica,1,127.5,NA,NA,NA,12.3,13.05,19.8,NA,NA,NA,NA,0.03,0.0235,0.78,225.29,,
T,DP,Shorea assamica,2,134,NA,NA,NA,2.35,7.32,10.74,NA,NA,NA,NA,0.005,0.0037,NA,NA,0,0
T,DP,Shorea assamica,2,134,NA,NA,NA,10.74,7.32,10.74,NA,NA,NA,NA,0.01,0.0075,0.25,65.55,,
T,DP,Shorea assamica,2,134,NA,NA,NA,8.67,7.32,10.74,NA,NA,NA,NA,0.015,0.0112,0.28,79.35,,
T,DP,Shorea assamica,2,134,NA,NA,NA,8.09,7.32,10.74,NA,NA,NA,NA,0.02,0.0149,0.34,98.81,,
T,DP,Shorea assamica,2,134,NA,NA,NA,7.09,7.32,10.74,NA,NA,NA,NA,0.025,0.0187,0.39,108.16,,
T,DP,Shorea assamica,2,134,NA,NA,NA,7,7.32,10.74,NA,NA,NA,NA,0.03,0.0224,0.42,128.16,,
T,DP,Shorea assamica,3,143,NA,NA,NA,4.48,10.64,15.46,NA,NA,NA,NA,0.005,0.0035,NA,NA,0,0
T,DP,Shorea assamica,3,143,NA,NA,NA,15.46,10.64,15.46,NA,NA,NA,NA,0.01,0.007,0.3,94.4,,
T,DP,Shorea assamica,3,143,NA,NA,NA,12.48,10.64,15.46,NA,NA,NA,NA,0.015,0.0105,0.35,114.25,,
T,DP,Shorea assamica,3,143,NA,NA,NA,11.42,10.64,15.46,NA,NA,NA,NA,0.02,0.014,0.49,139.38,,
T,DP,Shorea assamica,3,143,NA,NA,NA,10.35,10.64,15.46,NA,NA,NA,NA,0.025,0.0175,0.52,158.02,,
T,DP,Shorea assamica,3,143,NA,NA,NA,9.66,10.64,15.46,NA,NA,NA,NA,0.03,0.021,0.57,176.98,,
T,DP,Shorea assamica,4,135,NA,NA,NA,4.43,7.63,10.54,NA,NA,NA,NA,0.005,0.0037,NA,NA,0,0
T,DP,Shorea assamica,4,135,NA,NA,NA,10.54,7.63,10.54,NA,NA,NA,NA,0.01,0.0074,0.43,64.32,,
T,DP,Shorea assamica,4,135,NA,NA,NA,8.62,7.63,10.54,NA,NA,NA,NA,0.015,0.0111,0.47,78.93,,
T,DP,Shorea assamica,4,135,NA,NA,NA,7.85,7.63,10.54,NA,NA,NA,NA,0.02,0.0148,0.57,95.87,,
T,DP,Shorea assamica,4,135,NA,NA,NA,7.11,7.63,10.54,NA,NA,NA,NA,0.025,0.0185,0.65,108.47,,
T,DP,Shorea assamica,4,135,NA,NA,NA,7.25,7.63,10.54,NA,NA,NA,NA,0.03,0.0222,0.73,132.85,,
T,DP,Shorea assamica,5,121,NA,NA,NA,13.93,27.58,43.39,NA,NA,NA,NA,0.005,0.0041,NA,NA,0,0
T,DP,Shorea assamica,5,121,NA,NA,NA,43.39,27.58,43.39,NA,NA,NA,NA,0.01,0.0083,0.4,264.91,,
T,DP,Shorea assamica,5,121,NA,NA,NA,31.11,27.58,43.39,NA,NA,NA,NA,0.015,0.0124,0.43,284.86,,
T,DP,Shorea assamica,5,121,NA,NA,NA,28.4,27.58,43.39,NA,NA,NA,NA,0.02,0.0165,0.5,346.77,,
T,DP,Shorea assamica,5,121,NA,NA,NA,25.01,27.58,43.39,NA,NA,NA,NA,0.025,0.0207,0.49,381.67,,
T,DP,Shorea assamica,5,121,NA,NA,NA,23.63,27.58,43.39,NA,NA,NA,NA,0.03,0.0248,0.55,432.75,,
T,DP,Shorea assamica,6,125,NA,NA,NA,5.02,16.23,24.7,NA,NA,NA,NA,0.005,0.004,NA,NA,0,0
T,DP,Shorea assamica,6,125,NA,NA,NA,24.7,16.23,24.7,NA,NA,NA,NA,0.01,0.008,0.5,150.78,,
T,DP,Shorea assamica,6,125,NA,NA,NA,19.06,16.23,24.7,NA,NA,NA,NA,0.015,0.012,0.59,174.5,,
T,DP,Shorea assamica,6,125,NA,NA,NA,17.53,16.23,24.7,NA,NA,NA,NA,0.02,0.016,0.72,214.04,,
T,DP,Shorea assamica,6,125,NA,NA,NA,15.66,16.23,24.7,NA,NA,NA,NA,0.025,0.02,0.81,239.03,,
T,DP,Shorea assamica,6,125,NA,NA,NA,15.43,16.23,24.7,NA,NA,NA,NA,0.03,0.024,0.94,282.52,,
S,DP,Terminalia franchetii,1,176,0.4,2.13,1.13,0.35,0.24,0.35,NA,NA,NA,NA,0.02,0.0114,NA,NA,0,0
S,DP,Terminalia franchetii,1,176,0.4,2.13,1.13,0.24,0.24,0.35,NA,NA,NA,NA,0.03,0.017,NA,NA,0,0
S,DP,Terminalia franchetii,1,176,0.4,2.13,1.13,0.18,0.24,0.35,NA,NA,NA,NA,0.04,0.0227,NA,NA,0,0
S,DP,Terminalia franchetii,1,176,0.4,2.13,1.13,0.19,0.24,0.35,NA,NA,NA,NA,0.05,0.0284,NA,NA,0,0
S,DP,Terminalia franchetii,1,176,0.4,2.13,1.13,0.25,0.24,0.35,NA,NA,NA,NA,0.06,0.0341,NA,NA,0,0
S,DP,Terminalia franchetii,1,176,0.4,2.13,1.13,0.23,0.24,0.35,NA,NA,NA,NA,0.07,0.0398,NA,NA,0,0
S,DP,Terminalia franchetii,2,205,0.47,2.13,1.13,1.34,1.46,1.98,NA,NA,NA,NA,0.02,0.0098,0.11,13.08,,
S,DP,Terminalia franchetii,2,205,0.47,2.13,1.13,1.29,1.46,1.98,NA,NA,NA,NA,0.03,0.0146,0.21,18.83,,
S,DP,Terminalia franchetii,2,205,0.47,2.13,1.13,1.04,1.46,1.98,NA,NA,NA,NA,0.04,0.0195,0.25,20.39,,
S,DP,Terminalia franchetii,2,205,0.47,2.13,1.13,1.35,1.46,1.98,NA,NA,NA,NA,0.05,0.0244,0.32,32.86,,
S,DP,Terminalia franchetii,2,205,0.47,2.13,1.13,1.74,1.46,1.98,NA,NA,NA,NA,0.06,0.0293,0.39,50.94,,
S,DP,Terminalia franchetii,2,205,0.47,2.13,1.13,1.98,1.46,1.98,NA,NA,NA,NA,0.07,0.0341,0.44,67.61,,
S,DP,Terminalia franchetii,3,197,0.47,1.84,0.84,0.81,0.87,1.2,NA,NA,NA,NA,0.02,0.0102,0.01,8.25,,
S,DP,Terminalia franchetii,3,197,0.47,1.84,0.84,0.73,0.87,1.2,NA,NA,NA,NA,0.03,0.0152,0.08,11.08,,
S,DP,Terminalia franchetii,3,197,0.47,1.84,0.84,0.64,0.87,1.2,NA,NA,NA,NA,0.04,0.0203,0.1,13.04,,
S,DP,Terminalia franchetii,3,197,0.47,1.84,0.84,0.8,0.87,1.2,NA,NA,NA,NA,0.05,0.0254,0.2,20.34,,
S,DP,Terminalia franchetii,3,197,0.47,1.84,0.84,1.03,0.87,1.2,NA,NA,NA,NA,0.06,0.0305,0.4,31.47,,
S,DP,Terminalia franchetii,3,197,0.47,1.84,0.84,1.2,0.87,1.2,NA,NA,NA,NA,0.07,0.0355,0.54,42.48,,
S,DP,Terminalia franchetii,4,201,0.62,1.74,0.74,0.95,1.49,2,NA,NA,NA,NA,0.02,0.01,0.07,9.47,,
S,DP,Terminalia franchetii,4,201,0.62,1.74,0.74,1.26,1.49,2,NA,NA,NA,NA,0.03,0.0149,0.11,18.85,,
S,DP,Terminalia franchetii,4,201,0.62,1.74,0.74,0.89,1.49,2,NA,NA,NA,NA,0.04,0.0199,NA,NA,0,0
S,DP,Terminalia franchetii,4,201,0.62,1.74,0.74,1.93,1.49,2,NA,NA,NA,NA,0.05,0.0249,0.21,47.97,,
S,DP,Terminalia franchetii,4,201,0.62,1.74,0.74,1.88,1.49,2,NA,NA,NA,NA,0.06,0.0299,0.31,56.26,,
S,DP,Terminalia franchetii,4,201,0.62,1.74,0.74,2,1.49,2,NA,NA,NA,NA,0.07,0.0348,0.42,69.48,,
S,DP,Terminalia franchetii,5,197,0.38,2.3,1.3,0.96,1.49,2.04,NA,NA,NA,NA,0.02,0.0102,NA,NA,0,0
S,DP,Terminalia franchetii,5,197,0.38,2.3,1.3,1.26,1.49,2.04,NA,NA,NA,NA,0.03,0.0152,NA,NA,0,0
S,DP,Terminalia franchetii,5,197,0.38,2.3,1.3,1.2,1.49,2.04,NA,NA,NA,NA,0.04,0.0203,0.08,24.35,,
S,DP,Terminalia franchetii,5,197,0.38,2.3,1.3,1.77,1.49,2.04,NA,NA,NA,NA,0.05,0.0254,0.14,44.98,,
S,DP,Terminalia franchetii,5,197,0.38,2.3,1.3,1.72,1.49,2.04,NA,NA,NA,NA,0.06,0.0305,0.18,52.45,,
S,DP,Terminalia franchetii,5,197,0.38,2.3,1.3,2.04,1.49,2.04,NA,NA,NA,NA,0.07,0.0355,0.24,72.38,,
S,DP,Terminalia franchetii,6,204,0.74,1.56,0.56,2.14,2.92,3.39,NA,NA,NA,NA,0.02,0.0098,NA,NA,,
S,DP,Terminalia franchetii,6,204,0.74,1.56,0.56,2.9,2.92,3.39,NA,NA,NA,NA,0.03,0.0147,NA,NA,,
S,DP,Terminalia franchetii,6,204,0.74,1.56,0.56,2.78,2.92,3.39,NA,NA,NA,NA,0.04,0.0196,NA,NA,,
S,DP,Terminalia franchetii,6,204,0.74,1.56,0.56,3.12,2.92,3.39,NA,NA,NA,NA,0.05,0.0245,NA,NA,,
S,DP,Terminalia franchetii,6,204,0.74,1.56,0.56,3.21,2.92,3.39,NA,NA,NA,NA,0.06,0.0294,NA,NA,,
S,DP,Terminalia franchetii,6,204,0.74,1.56,0.56,3.39,2.92,3.39,NA,NA,NA,NA,0.07,0.0343,NA,NA,,
S,DP,Acrocarpus fraxinifolius,1,219,0.4,2.13,1.13,0.09,0.27,0.39,93.57,110.43,4.59,6.53,0.03,0.0137,NA,NA,0,0
S,DP,Acrocarpus fraxinifolius,1,219,0.4,2.13,1.13,0.15,0.27,0.39,93.57,110.43,4.59,6.53,0.04,0.0183,NA,NA,0,0
S,DP,Acrocarpus fraxinifolius,1,219,0.4,2.13,1.13,0.22,0.27,0.39,93.57,110.43,4.59,6.53,0.05,0.0228,NA,NA,0,0
S,DP,Acrocarpus fraxinifolius,1,219,0.4,2.13,1.13,0.38,0.27,0.39,93.57,110.43,4.59,6.53,0.06,0.0274,0.11,10.42,,
S,DP,Acrocarpus fraxinifolius,1,219,0.4,2.13,1.13,0.37,0.27,0.39,93.57,110.43,4.59,6.53,0.07,0.032,0.27,11.94,,
S,DP,Acrocarpus fraxinifolius,1,219,0.4,2.13,1.13,0.39,0.27,0.39,93.57,110.43,4.59,6.53,0.08,0.0365,0.3,14.31,,
S,DP,Acrocarpus fraxinifolius,2,216,0.47,2.13,1.13,2.98,3.16,3.48,115.31,133.72,4.28,3.81,0.03,0.0139,0.04,41.34,,
S,DP,Acrocarpus fraxinifolius,2,216,0.47,2.13,1.13,2.92,3.16,3.48,115.31,133.72,4.28,3.81,0.04,0.0185,0.13,54.11,,
S,DP,Acrocarpus fraxinifolius,2,216,0.47,2.13,1.13,3.09,3.16,3.48,115.31,133.72,4.28,3.81,0.05,0.0231,0.23,71.55,,
S,DP,Acrocarpus fraxinifolius,2,216,0.47,2.13,1.13,3.29,3.16,3.48,115.31,133.72,4.28,3.81,0.06,0.0278,0.38,91.48,,
S,DP,Acrocarpus fraxinifolius,2,216,0.47,2.13,1.13,3.48,3.16,3.48,115.31,133.72,4.28,3.81,0.07,0.0324,0.41,112.73,,
S,DP,Acrocarpus fraxinifolius,2,216,0.47,2.13,1.13,3.22,3.16,3.48,115.31,133.72,4.28,3.81,0.08,0.037,0.44,119.44,,
S,DP,Acrocarpus fraxinifolius,3,209,0.47,1.84,0.84,3.84,4.59,5.57,138.82,162.47,9.12,5.59,0.03,0.0144,0.3,55.08,,
S,DP,Acrocarpus fraxinifolius,3,209,0.47,1.84,0.84,3.91,4.59,5.57,138.82,162.47,9.12,5.59,0.04,0.0191,0.38,74.86,,
S,DP,Acrocarpus fraxinifolius,3,209,0.47,1.84,0.84,4.3,4.59,5.57,138.82,162.47,9.12,5.59,0.05,0.0239,0.46,102.87,,
S,DP,Acrocarpus fraxinifolius,3,209,0.47,1.84,0.84,5.57,4.59,5.57,138.82,162.47,9.12,5.59,0.06,0.0287,0.58,160.01,,
S,DP,Acrocarpus fraxinifolius,3,209,0.47,1.84,0.84,5.24,4.59,5.57,138.82,162.47,9.12,5.59,0.07,0.0335,0.64,175.48,,
S,DP,Acrocarpus fraxinifolius,3,209,0.47,1.84,0.84,4.65,4.59,5.57,138.82,162.47,9.12,5.59,0.08,0.0383,0.67,177.93,,
S,DP,Acrocarpus fraxinifolius,4,223,0.62,1.74,0.74,2.23,2.09,2.45,130.1,149.22,9.01,6.52,0.03,0.0135,0.02,30.01,,
S,DP,Acrocarpus fraxinifolius,4,223,0.62,1.74,0.74,2.45,2.09,2.45,130.1,149.22,9.01,6.52,0.04,0.0179,0.03,43.92,,
S,DP,Acrocarpus fraxinifolius,4,223,0.62,1.74,0.74,2.05,2.09,2.45,130.1,149.22,9.01,6.52,0.05,0.0224,0.04,46,,
S,DP,Acrocarpus fraxinifolius,4,223,0.62,1.74,0.74,2.09,2.09,2.45,130.1,149.22,9.01,6.52,0.06,0.0269,0.07,56.35,,
S,DP,Acrocarpus fraxinifolius,4,223,0.62,1.74,0.74,1.91,2.09,2.45,130.1,149.22,9.01,6.52,0.07,0.0314,0.09,59.81,,
S,DP,Acrocarpus fraxinifolius,4,223,0.62,1.74,0.74,1.81,2.09,2.45,130.1,149.22,9.01,6.52,0.08,0.0359,0.15,65.01,,
S,DP,Acrocarpus fraxinifolius,5,196,0.38,2.3,1.3,0.07,0.17,0.25,143.93,178.06,10.04,5.67,0.03,0.0153,NA,NA,0,0
S,DP,Acrocarpus fraxinifolius,5,196,0.38,2.3,1.3,0.15,0.17,0.25,143.93,178.06,10.04,5.67,0.04,0.0204,0.02,3.01,,
S,DP,Acrocarpus fraxinifolius,5,196,0.38,2.3,1.3,0.15,0.17,0.25,143.93,178.06,10.04,5.67,0.05,0.0255,0.07,3.71,,
S,DP,Acrocarpus fraxinifolius,5,196,0.38,2.3,1.3,0.19,0.17,0.25,143.93,178.06,10.04,5.67,0.06,0.0306,0.14,5.7,,
S,DP,Acrocarpus fraxinifolius,5,196,0.38,2.3,1.3,0.2,0.17,0.25,143.93,178.06,10.04,5.67,0.07,0.0357,0.21,7.29,,
S,DP,Acrocarpus fraxinifolius,5,196,0.38,2.3,1.3,0.25,0.17,0.25,143.93,178.06,10.04,5.67,0.08,0.0408,0.28,10.09,,
S,DP,Acrocarpus fraxinifolius,6,213,0.74,1.56,0.56,3.78,3.69,4.45,119.55,152.72,7.65,6.25,0.03,0.0141,0.14,53.21,,
S,DP,Acrocarpus fraxinifolius,6,213,0.74,1.56,0.56,4.45,3.69,4.45,119.55,152.72,7.65,6.25,0.04,0.0188,0.23,83.63,,
S,DP,Acrocarpus fraxinifolius,6,213,0.74,1.56,0.56,3.66,3.69,4.45,119.55,152.72,7.65,6.25,0.05,0.0235,0.25,86.03,,
S,DP,Acrocarpus fraxinifolius,6,213,0.74,1.56,0.56,3.7,3.69,4.45,119.55,152.72,7.65,6.25,0.06,0.0282,0.29,104.24,,
S,DP,Acrocarpus fraxinifolius,6,213,0.74,1.56,0.56,3.37,3.69,4.45,119.55,152.72,7.65,6.25,0.07,0.0329,0.31,110.62,,
S,DP,Acrocarpus fraxinifolius,6,213,0.74,1.56,0.56,3.16,3.69,4.45,119.55,152.72,7.65,6.25,0.08,0.0376,0.36,118.71,,
S,DP,Polyalthia cerasoides,1,185,0.67,1.77,0.77,0.63,0.76,0.82,76.86,95.09,7.49,15.41,0.03,0.0162,0.13,10.28,,
S,DP,Polyalthia cerasoides,1,185,0.67,1.77,0.77,0.69,0.76,0.82,76.86,95.09,7.49,15.41,0.04,0.0216,0.14,14.92,,
S,DP,Polyalthia cerasoides,1,185,0.67,1.77,0.77,0.78,0.76,0.82,76.86,95.09,7.49,15.41,0.05,0.027,0.19,21,,
S,DP,Polyalthia cerasoides,1,185,0.67,1.77,0.77,0.81,0.76,0.82,76.86,95.09,7.49,15.41,0.06,0.0324,0.29,26.37,,
S,DP,Polyalthia cerasoides,1,185,0.67,1.77,0.77,0.8,0.76,0.82,76.86,95.09,7.49,15.41,0.07,0.0378,0.22,30.28,,
S,DP,Polyalthia cerasoides,1,185,0.67,1.77,0.77,0.82,0.76,0.82,76.86,95.09,7.49,15.41,0.08,0.0432,0.32,35.39,,
S,DP,Polyalthia cerasoides,2,183,0.66,1.79,0.79,1.87,2.42,2.75,68,84.33,9.79,25.43,0.03,0.0164,0.11,30.61,,
S,DP,Polyalthia cerasoides,2,183,0.66,1.79,0.79,2.13,2.42,2.75,68,84.33,9.79,25.43,0.04,0.0219,0.17,46.48,,
S,DP,Polyalthia cerasoides,2,183,0.66,1.79,0.79,2.47,2.42,2.75,68,84.33,9.79,25.43,0.05,0.0273,0.22,67.49,,
S,DP,Polyalthia cerasoides,2,183,0.66,1.79,0.79,2.66,2.42,2.75,68,84.33,9.79,25.43,0.06,0.0328,0.36,87.35,,
S,DP,Polyalthia cerasoides,2,183,0.66,1.79,0.79,2.67,2.42,2.75,68,84.33,9.79,25.43,0.07,0.0383,0.39,102.15,,
S,DP,Polyalthia cerasoides,2,183,0.66,1.79,0.79,2.75,2.42,2.75,68,84.33,9.79,25.43,0.08,0.0437,0.53,120.13,,
S,DP,Polyalthia cerasoides,3,202,0.7,1.74,0.74,0.28,0.38,0.44,76.42,85.75,9.37,19.7,0.03,0.0149,NA,NA,,
S,DP,Polyalthia cerasoides,3,202,0.7,1.74,0.74,0.36,0.38,0.44,76.42,85.75,9.37,19.7,0.04,0.0198,NA,NA,,
S,DP,Polyalthia cerasoides,3,202,0.7,1.74,0.74,0.39,0.38,0.44,76.42,85.75,9.37,19.7,0.05,0.0248,NA,NA,,
