tree_id,initial_dbh
1,17.96178344
2,17.13375796
3,16.40127389
4,18.28025478
5,15.44585987
6,18.85350318
7,16.17834395
8,15.44585987
9,19.36305732
10,18.69426752
11,19.04458599
12,19.49044586
13,14.93630573
14,18.24840764
15,20
16,18.50318471
